,rank,image,name,company,marketCap,fullyDilutedMarketCap,yesterday_low,yesterday_high,yesterday_open,yesterday_close,yesterday_change,yesterday_volume,price,volume_24h,volume24hInMarketCap,dominance,circulatingSupply,maxSupplyValue,totalSupplyValue,price_change_24h,high_24h,low_24h,high_7d,low_7d,high_30d,low_30d,high_90d,low_90d,high_52w,low_52w,high_all_time,low_all_time,high_all_time_date,low_all_time_date,date,price_change_percentage
31,47,https://s2.coinmarketcap.com/static/img/coins/64x64/1720.png,IOTA,MIOTA,2272932322.62,2272932322.62,0.7759,0.8205,0.7899,0.8115,2.74,41325168.92,0.8177,35963193.95,0.01582,0.13,2779530283.0,2779530283.0,2779530283.0,0.006219,0.8625,0.802,1.11,0.7,1.11,0.7,1.66,0.7,2.68,0.3791,5.69,0.07962,"Dec 19, 2017","Mar 13, 2020",2022-01-26 21:27:03.323752,0.760547878194937
32,48,https://s2.coinmarketcap.com/static/img/coins/64x64/3945.png,Harmony,ONE,2246489378.66,2581242035.39,0.1812,0.1968,0.1923,0.1913,0.54,199854338.63,0.1937,225062759.02,0.1002,0.13,11600671708.0,0.0,13329304708.0,0.0004801,0.2073,0.1848,0.2995,0.1688,0.2995,0.1688,0.3774,0.1418,0.3798,0.006322,0.3798,0.001257,"Oct 26, 2021","Mar 13, 2020",2022-01-26 21:27:05.690614,0.2478575116159009
33,48,https://s2.coinmarketcap.com/static/img/coins/64x64/1765.png,EOS,EOS,2189056280.05,2337960914.22,2.17,2.23,2.2,2.22,1.03,362232469.94,2.24,421034703.61,0.1923,0.13,978888236.0,0.0,1045474461.0,0.0377,2.37,2.19,2.84,2.0,2.84,2.0,5.37,2.0,14.88,2.0,22.89,0.4802,"Apr 29, 2018","Oct 23, 2017",2022-01-26 21:27:07.928218,1.683035714285714
34,54,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png,Stacks,STX,1792707592.25,2515108411.37,1.26,1.39,1.36,1.36,0.21,65027738.77,1.38,85832277.91,0.04788,0.11,1295825813.0,1818000000.0,1352464600.0,0.0192,1.52,1.33,2.19,1.2,2.19,1.2,3.61,1.2,3.61,0.4107,3.61,0.04501,"Nov 16, 2021","Mar 13, 2020",2022-01-26 21:27:10.621190,1.391304347826087
35,55,https://s2.coinmarketcap.com/static/img/coins/64x64/3602.png,Bitcoin SV,BSV,1742671663.58,1929926032.03,88.83,93.8,91.56,90.45,1.22,161344829.15,91.9,148874473.75,0.08543,0.1,18962439.0,21000000.0,18962439.0,1.91,95.53,88.83,111.77,84.06,111.77,84.06,198.76,83.87,491.64,83.87,491.64,36.87,"Apr 16, 2021","Nov 23, 2018",2022-01-26 21:27:12.818399,2.0783460282916213
36,57,https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png,Flow,FLOW,1597071407.13,6919913126.8,4.55,5.04,4.85,4.91,1.4,156865841.9,5.02,213293769.32,0.1336,0.09,318082398.0,0.0,1378211739.0,0.08445,5.43,4.78,7.56,4.34,7.56,4.34,16.78,4.34,46.16,4.34,46.16,4.34,"Apr 05, 2021","Jan 24, 2022",2022-01-26 21:27:15.044188,1.6822709163346616
37,60,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png,Kusama,KSM,1435222470.2,1635358180.88,170.16,180.43,174.55,173.75,0.46,67755340.76,169.45,78823661.17,0.05492,0.09,8470098.0,0.0,9651217.0,-5.56,179.88,169.34,256.82,162.57,256.82,162.57,518.91,162.57,623.75,90.63,623.75,0.9158,"May 18, 2021","Jan 14, 2020",2022-01-26 21:27:17.655043,-3.281203894954264
38,63,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,eCash,XEC,1354740635.94,1500339795.11,6.88e-05,7.222e-05,7.188e-05,7.191e-05,0.05,18234658.52,7.144e-05,20957506.57,0.01547,0.08,18962073423313.0,21000000000000.0,18899704673313.0,-5.289e-08,7.644e-05,7.05e-05,9.66e-05,6.394e-05,9.66e-05,6.394e-05,0.005112,6.394e-05,0.005112,1.73e-05,0.005112,1.73e-05,"Nov 10, 2021","Jul 20, 2021",2022-01-26 21:27:21.465876,-0.07403415453527436
39,67,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,Neo,NEO,1317316755.66,1867505793.6,17.61,18.35,18.1,18.23,0.72,92080603.65,18.68,106668542.31,0.08097,0.08,70538831.0,100000000.0,100000000.0,0.5456,19.71,17.88,24.66,16.21,24.66,16.21,53.42,16.21,140.37,16.21,196.85,0.07229,"Jan 15, 2018","Oct 21, 2016",2022-01-26 21:27:23.764325,2.9207708779443253
40,71,https://s2.coinmarketcap.com/static/img/coins/64x64/1437.png,Zcash,ZEC,1230968257.07,1899392002.06,89.43,96.09,94.36,90.49,4.1,253678509.01,90.45,278474877.62,0.2262,0.07,13609794.0,21000000.0,13609794.0,-1.73,98.43,89.43,131.73,82.28,131.73,82.28,303.95,82.28,370.14,77.72,5941.8,18.94,"Oct 29, 2016","Mar 13, 2020",2022-01-26 21:27:26.174287,-1.9126589275843007
